rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,TonyTheTechnician,36700,-1.1,6680,7.4,/youtube/channel/UCO1eVvwGdZBAcMvvHaC1_ow,https://www.youtube.com/channel/UCO1eVvwGdZBAcMvvHaC1_ow
2,PoisonSpyderTV,10100,-1.0,2720,0.0,/youtube/channel/UCnVyQ5y-1B9_E0gaslOFUeA,https://www.youtube.com/channel/UCnVyQ5y-1B9_E0gaslOFUeA
3,ZStarTV,104000,-0.9,12530,0.3,/youtube/channel/UC_2T_0hy0Q4Dp1feX9ECBcw,https://www.youtube.com/channel/UC_2T_0hy0Q4Dp1feX9ECBcw
4,TOP 10,10700,-0.9,886,0.0,/youtube/channel/UCdhHnaM9-Y4LDmrhofQUEaw,https://www.youtube.com/channel/UCdhHnaM9-Y4LDmrhofQUEaw
5,今日大新闻,10900,-0.9,8920,0.0,/youtube/channel/UCNcRMnP68XlYk6KkhQjb9Jg,https://www.youtube.com/channel/UCNcRMnP68XlYk6KkhQjb9Jg
6,Владимир Жемчугов,11000,-0.9,351,0.0,/youtube/channel/UCk5BhlXi_EtLE1Odvh4ijng,https://www.youtube.com/channel/UCk5BhlXi_EtLE1Odvh4ijng
7,KAFI,116000,-0.9,4590,-48.0,/youtube/channel/UCFliCeEt0gBX8NfQHjVhrZA,https://www.youtube.com/channel/UCFliCeEt0gBX8NfQHjVhrZA
8,STALNOY STYLE - Стальной Стиль,119000,-0.8,38680,0.0,/youtube/channel/UCeDh7bdn37nPnnfNkrpMz3w,https://www.youtube.com/channel/UCeDh7bdn37nPnnfNkrpMz3w
9,NascarRacingFan5,12000,-0.8,9720,0.2,/youtube/channel/UC3LTWHjkb3hh3G0DkKFi0Ug,https://www.youtube.com/channel/UC3LTWHjkb3hh3G0DkKFi0Ug
10,Дядя ВОВА Классик USA,24700,-0.8,3710,-13.9,/youtube/channel/UCC4aZoRq9ewyMU7v29FRdoA,https://www.youtube.com/channel/UCC4aZoRq9ewyMU7v29FRdoA
11,Trendy Cars,12600,-0.8,83,0.0,/youtube/channel/UCowKYiznUShQDa9djLE9hlw,https://www.youtube.com/channel/UCowKYiznUShQDa9djLE9hlw
12,TheAngryHoneyBadger,127000,-0.8,4710,2.8,/youtube/channel/UC7foeIw1ZW7BaqHAUfFgRzg,https://www.youtube.com/channel/UC7foeIw1ZW7BaqHAUfFgRzg
13,Cummins Kyle,12800,-0.8,27340,0.0,/youtube/channel/UCmuxfM-mlh95wJXVRnWCoCA,https://www.youtube.com/channel/UCmuxfM-mlh95wJXVRnWCoCA
14,Jimmy Epolito,13100,-0.8,114590,0.0,/youtube/channel/UCZap4lKddv-rSZuItDl4SRQ,https://www.youtube.com/channel/UCZap4lKddv-rSZuItDl4SRQ
15,EvgeniTalks,13100,-0.8,3400,0.2,/youtube/channel/UCKD5HUZ0NnXPe3WONF6CzKQ,https://www.youtube.com/channel/UCKD5HUZ0NnXPe3WONF6CzKQ
