rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,The Def Noodles Show,17100,-3.4,9720,-9.2,/youtube/channel/UCiVmtFYn0YvQLjUnKd-0vfQ,https://www.youtube.com/channel/UCiVmtFYn0YvQLjUnKd-0vfQ
2,Life In Forest,63000,-2.3,220,-45.4,/youtube/channel/UC4dHG5n-zjvEmWlLua2p5hw,https://www.youtube.com/channel/UC4dHG5n-zjvEmWlLua2p5hw
3,FluidSprokitt,10500,-1.9,209120,0.0,/youtube/channel/UC83svbN1lAD7ycV38fYzudQ,https://www.youtube.com/channel/UC83svbN1lAD7ycV38fYzudQ
4,The FlipBook World,24400,-1.2,43260,-53.5,/youtube/channel/UCRwAgbxObT3gUAeGOFx7rpg,https://www.youtube.com/channel/UCRwAgbxObT3gUAeGOFx7rpg
5,Wizard Kelly,165000,-1.2,43960,-3.1,/youtube/channel/UCQMSQDmUK9geANJOoMDufag,https://www.youtube.com/channel/UCQMSQDmUK9geANJOoMDufag
6,The Original Creature Features,34100,-1.2,2370,2.2,/youtube/channel/UCqO-C1TJtQBrjAaeoJnmGRg,https://www.youtube.com/channel/UCqO-C1TJtQBrjAaeoJnmGRg
7,Exoid,100000,-1.0,3360,0.2,/youtube/channel/UCxNs7xFD-rPkj7a1PpBwKXw,https://www.youtube.com/channel/UCxNs7xFD-rPkj7a1PpBwKXw
8,MiaKittens,100000,-1.0,378090,0.0,/youtube/channel/UCCNwhW5PrKushlSfTaNv02g,https://www.youtube.com/channel/UCCNwhW5PrKushlSfTaNv02g
9,WIZARD GANG,100000,-1.0,516,0.0,/youtube/channel/UCCFKnSCEr-otOleUNWGtc7A,https://www.youtube.com/channel/UCCFKnSCEr-otOleUNWGtc7A
10,Global Drama,1000000,-1.0,833450,-6.6,/youtube/channel/UCQ8tLi8vmvpBMdeF0vcmZIQ,https://www.youtube.com/channel/UCQ8tLi8vmvpBMdeF0vcmZIQ
11,YourWaifu ASMR,10100,-1.0,122350,0.0,/youtube/channel/UCKjPfonb4oGj4bTzuzOygzw,https://www.youtube.com/channel/UCKjPfonb4oGj4bTzuzOygzw
12,Quis1on1&City,10100,-1.0,30350,0.0,/youtube/channel/UCFxeRxjY_wR8FEQwI0sdyAw,https://www.youtube.com/channel/UCFxeRxjY_wR8FEQwI0sdyAw
13,2NE1 DESERVED BETTER,10100,-1.0,234400,0.0,/youtube/channel/UCFCHjBfjD7eCJ7cZpnMaQlg,https://www.youtube.com/channel/UCFCHjBfjD7eCJ7cZpnMaQlg
14,commoncinnamon,10100,-1.0,140290,0.0,/youtube/channel/UCSypffGEYCtspWxsf0Pktlw,https://www.youtube.com/channel/UCSypffGEYCtspWxsf0Pktlw
15,Kindled Virtuosity,10100,-1.0,245510,0.0,/youtube/channel/UClRHi9xC5Elp_HU8P-Yk5HA,https://www.youtube.com/channel/UClRHi9xC5Elp_HU8P-Yk5HA
16,Shib Coin,101000,-1.0,0,0.0,/youtube/channel/UCAs5zk2r8hF27KJfXQLrwFQ,https://www.youtube.com/channel/UCAs5zk2r8hF27KJfXQLrwFQ
17,Charm The Mystic,10100,-1.0,143,-1.4,/youtube/channel/UCHDyt7TNHEGwUj7-OYY0VjQ,https://www.youtube.com/channel/UCHDyt7TNHEGwUj7-OYY0VjQ
18,ScammerRevolts,1010000,-1.0,128080,-2.2,/youtube/channel/UC0uJKUXiU5T41Fzawy5H6mw,https://www.youtube.com/channel/UC0uJKUXiU5T41Fzawy5H6mw
19,HNC Entertainment,10200,-1.0,24750,0.0,/youtube/channel/UCsYiEtmWART-M6ko76Vbm8A,https://www.youtube.com/channel/UCsYiEtmWART-M6ko76Vbm8A
