rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,CyanVibe,97700,-5.1,4200,6.0,/youtube/channel/UCceTbV_y7DA9SE56jqLqTTg,https://www.youtube.com/channel/UCceTbV_y7DA9SE56jqLqTTg
2,NoPixel+,25900,-4.4,26730,0.0,/youtube/channel/UCeLL5hkvXCUxVJCFjpeyoeg,https://www.youtube.com/channel/UCeLL5hkvXCUxVJCFjpeyoeg
3,Fiza Gaming,124000,-2.4,616,-96.7,/youtube/channel/UCyRiMQJIPu7WIlUZOZgTLmw,https://www.youtube.com/channel/UCyRiMQJIPu7WIlUZOZgTLmw
4,KHInsider,15300,-1.9,17,-92.6,/youtube/channel/UC3qWWQnWPvUicbbK5W5Yo_Q,https://www.youtube.com/channel/UC3qWWQnWPvUicbbK5W5Yo_Q
5,Julie Green Official,158000,-1.9,1020,100.0,/youtube/channel/UCf3gsae2rClcy_Aqhc7A6ig,https://www.youtube.com/channel/UCf3gsae2rClcy_Aqhc7A6ig
6,Headdband,12600,-1.6,4930,-1.2,/youtube/channel/UCIsn7-uL-RlZtYZQKuARhAQ,https://www.youtube.com/channel/UCIsn7-uL-RlZtYZQKuARhAQ
7,US Daily News,13200,-1.5,11510,4.6,/youtube/channel/UCQ_y_yNzaWzQlymFG5kWnVA,https://www.youtube.com/channel/UCQ_y_yNzaWzQlymFG5kWnVA
8,FuKo,64000,-1.2,189060,-1.8,/youtube/channel/UCDZdcbh0e7Nn92rxYFSVxJA,https://www.youtube.com/channel/UCDZdcbh0e7Nn92rxYFSVxJA
9,FireMix,25100,-1.2,1320,165.6,/youtube/channel/UCgeSkLSrE__dtFRn8tmGDYw,https://www.youtube.com/channel/UCgeSkLSrE__dtFRn8tmGDYw
10,Exoid,100000,-1.0,3360,0.2,/youtube/channel/UCxNs7xFD-rPkj7a1PpBwKXw,https://www.youtube.com/channel/UCxNs7xFD-rPkj7a1PpBwKXw
11,LOIN,100000,-1.0,43420,0.1,/youtube/channel/UCYKIcsh9p5NS2Eh3fG9zJpQ,https://www.youtube.com/channel/UCYKIcsh9p5NS2Eh3fG9zJpQ
12,Garen Main,20100,-1.0,87970,36.4,/youtube/channel/UCkXPioWy6nzoCVzNWNOrciw,https://www.youtube.com/channel/UCkXPioWy6nzoCVzNWNOrciw
13,Boom Beach Ustası,10100,-1.0,138,0.0,/youtube/channel/UC3khCenbocOIyGHS1g-dMBw,https://www.youtube.com/channel/UC3khCenbocOIyGHS1g-dMBw
14,No Commentary Gameplay,10100,-1.0,288,0.0,/youtube/channel/UCadlKnkshtFk1pNz-a2xegQ,https://www.youtube.com/channel/UCadlKnkshtFk1pNz-a2xegQ
15,Clown Minecraft,10100,-1.0,22,0.0,/youtube/channel/UC31v6UnN54diNa-dA7COMAw,https://www.youtube.com/channel/UC31v6UnN54diNa-dA7COMAw
16,Bangla waz,10100,-1.0,36,0.0,/youtube/channel/UCBiE5DwK4YaBGwzLU1npU2Q,https://www.youtube.com/channel/UCBiE5DwK4YaBGwzLU1npU2Q
17,BagoyeeGaming,101000,-1.0,3080,0.7,/youtube/channel/UCGpU4igyNc-2gKgIPBQKfiA,https://www.youtube.com/channel/UCGpU4igyNc-2gKgIPBQKfiA
18,Solo Chad,101000,-1.0,2220,0.2,/youtube/channel/UCf0EzSN8S468y67fnO98NLQ,https://www.youtube.com/channel/UCf0EzSN8S468y67fnO98NLQ
19,COLDFLAME Entertainment,10100,-1.0,158930,0.0,/youtube/channel/UC0dw6_YcgR_UUSpuJnCwYEA,https://www.youtube.com/channel/UC0dw6_YcgR_UUSpuJnCwYEA
20,Tom Roblox,10200,-1.0,22240,0.0,/youtube/channel/UChtuoSIhLGQWb7oJB2UBbWA,https://www.youtube.com/channel/UChtuoSIhLGQWb7oJB2UBbWA
21,Kracky - Roblox Hacks,10200,-1.0,1470,0.0,/youtube/channel/UC7JT2DjMuqHl9CA3CIkUFeA,https://www.youtube.com/channel/UC7JT2DjMuqHl9CA3CIkUFeA
22,Heather Shadowslinger,10200,-1.0,9170,0.0,/youtube/channel/UCoCYhY3xNOdc8TsgoEnW2Tg,https://www.youtube.com/channel/UCoCYhY3xNOdc8TsgoEnW2Tg
23,参政党報道CH　3ch,102000,-1.0,20,5.3,/youtube/channel/UCXsiKTySXMAYY-UfnhMkkWg,https://www.youtube.com/channel/UCXsiKTySXMAYY-UfnhMkkWg
24,Uglyboyteooo,10200,-1.0,1550,0.7,/youtube/channel/UCMPzCHUhMQnK47Ir7p9LOZQ,https://www.youtube.com/channel/UCMPzCHUhMQnK47Ir7p9LOZQ
25,Jokesta Stream,102000,-1.0,11130,0.7,/youtube/channel/UCbQoR9AG6Rbx7-_Vo6gYPLw,https://www.youtube.com/channel/UCbQoR9AG6Rbx7-_Vo6gYPLw
26,The Gobcast,10300,-1.0,0,-100.0,/youtube/channel/UCCJ42XiRxvmtDuHNH9zs0yA,https://www.youtube.com/channel/UCCJ42XiRxvmtDuHNH9zs0yA
27,Orion Acaba,10300,-1.0,18960,0.0,/youtube/channel/UCns_lkCg4eZP-IUXjkrV3VA,https://www.youtube.com/channel/UCns_lkCg4eZP-IUXjkrV3VA
28,Bluey,10300,-1.0,175570,0.0,/youtube/channel/UCFnPrwCJf2WKNiiQFLs927w,https://www.youtube.com/channel/UCFnPrwCJf2WKNiiQFLs927w
29,DKS・CAPTEN,10300,-1.0,4440,0.0,/youtube/channel/UCd0dswoZNmV8IYUlo48nRqQ,https://www.youtube.com/channel/UCd0dswoZNmV8IYUlo48nRqQ
30,ItsMukie,10300,-1.0,139,0.0,/youtube/channel/UCRs3vq7G2N8MaBnvUdmo6sQ,https://www.youtube.com/channel/UCRs3vq7G2N8MaBnvUdmo6sQ
