rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Happy Heart,13200,-1.5,2,100.0,/youtube/channel/UCKyXpFpU5WpO8l3MOgvk1hw,https://www.youtube.com/channel/UCKyXpFpU5WpO8l3MOgvk1hw
2,Hai Linh DIY,182000,-1.1,16650,-66.0,/youtube/channel/UCab4QHwLzrjkRAJvKDMm0xg,https://www.youtube.com/channel/UCab4QHwLzrjkRAJvKDMm0xg
3,Pinkette25,10100,-1.0,1970,0.0,/youtube/channel/UCWvNl1CDMym1LxS96P2ozTw,https://www.youtube.com/channel/UCWvNl1CDMym1LxS96P2ozTw
4,Ayana Lova,10100,-1.0,47350,0.0,/youtube/channel/UCHkhE1W130MgNkEwbe9OZJw,https://www.youtube.com/channel/UCHkhE1W130MgNkEwbe9OZJw
5,Beautysworld,102000,-1.0,6620,0.0,/youtube/channel/UCe5QTZ2JS4mtPV8GoS1zNGQ,https://www.youtube.com/channel/UCe5QTZ2JS4mtPV8GoS1zNGQ
6,Yurig Makeup,10200,-1.0,2450,0.0,/youtube/channel/UCSNAay7P8LHvjYGxBX99cZg,https://www.youtube.com/channel/UCSNAay7P8LHvjYGxBX99cZg
7,Evangeline DeMuro,104000,-0.9,11500,0.1,/youtube/channel/UCYDx4LfNuQKI9aAcIa-BCKw,https://www.youtube.com/channel/UCYDx4LfNuQKI9aAcIa-BCKw
8,Izzy Parkhurst,104000,-0.9,28840,0.0,/youtube/channel/UCOWNJMtHeyhwsOSRHcahDCA,https://www.youtube.com/channel/UCOWNJMtHeyhwsOSRHcahDCA
9,Nails Bar Studio - Nail Art Designs Tutorials,10400,-0.9,7210,0.0,/youtube/channel/UC4nc17hCAjoxPu4ZOwTJ0ug,https://www.youtube.com/channel/UC4nc17hCAjoxPu4ZOwTJ0ug
10,PeopleJam,10500,-0.9,689840,0.0,/youtube/channel/UCF-eDyoyu9BJ4lAH5kKCNYg,https://www.youtube.com/channel/UCF-eDyoyu9BJ4lAH5kKCNYg
11,Lauren the Cat,105000,-0.9,8510,0.1,/youtube/channel/UCgt0D3cjrp1pQ2FvN6KsVew,https://www.youtube.com/channel/UCgt0D3cjrp1pQ2FvN6KsVew
