rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Railfan Depot,18300,-1.6,32280,0.0,/youtube/channel/UCMDGwKTU25UcmJ6Mg3rM38g,https://www.youtube.com/channel/UCMDGwKTU25UcmJ6Mg3rM38g
2,M.O.N,102000,-1.0,752,398.0,/youtube/channel/UCAId-ER62bkFeFXHf-qLu7g,https://www.youtube.com/channel/UCAId-ER62bkFeFXHf-qLu7g
3,Cryptic Shadows Paranormal,10300,-1.0,59410,0.0,/youtube/channel/UCpO4anh06Xzm_Ijmab1-21g,https://www.youtube.com/channel/UCpO4anh06Xzm_Ijmab1-21g
4,Fractal Radio,10400,-0.9,7820,-10.0,/youtube/channel/UC8xRInHClfOm5yhsR2jAgUg,https://www.youtube.com/channel/UC8xRInHClfOm5yhsR2jAgUg
5,Username,10700,-0.9,884210,0.0,/youtube/channel/UCb3ZfUuCZ-eq6fFWdWK0riQ,https://www.youtube.com/channel/UCb3ZfUuCZ-eq6fFWdWK0riQ
6,FIXWITHME,10700,-0.9,12660,0.0,/youtube/channel/UC2H-8mlOuwJ_vfm3Tnieyjg,https://www.youtube.com/channel/UC2H-8mlOuwJ_vfm3Tnieyjg
7,SiliconClassics,10900,-0.9,19520,0.0,/youtube/channel/UCPJ-lEOXwGO8YuxjcrH-SXg,https://www.youtube.com/channel/UCPJ-lEOXwGO8YuxjcrH-SXg
8,Creative Kiddos,11000,-0.9,231970,0.0,/youtube/channel/UChP67g7Ygsx3Pwmat1VUARQ,https://www.youtube.com/channel/UChP67g7Ygsx3Pwmat1VUARQ
9,Pippi Peterson,112000,-0.9,10050,0.4,/youtube/channel/UCRTQUJWAFkzsxNbFriAZnYA,https://www.youtube.com/channel/UCRTQUJWAFkzsxNbFriAZnYA
10,GermanWarRemembrance,11300,-0.9,183450,0.0,/youtube/channel/UCnPtlILJQ2zeniPmBMzHQKg,https://www.youtube.com/channel/UCnPtlILJQ2zeniPmBMzHQKg
11,Egor Gavrilov,11400,-0.9,1480,0.0,/youtube/channel/UC2g3Z_stf7EEXU3lOsjRpcQ,https://www.youtube.com/channel/UC2g3Z_stf7EEXU3lOsjRpcQ
12,hak1985org,11500,-0.9,167900,0.0,/youtube/channel/UCrGDIw0EBQ4Mj0dZUXCtb5Q,https://www.youtube.com/channel/UCrGDIw0EBQ4Mj0dZUXCtb5Q
13,Brackets,11800,-0.8,62110,0.0,/youtube/channel/UCCvv6VM72jjNrFx80YYg3og,https://www.youtube.com/channel/UCCvv6VM72jjNrFx80YYg3og
14,Surgery Life Enhancement,11800,-0.8,421830,0.0,/youtube/channel/UC2-cihupgb0X2KYkZMJILMA,https://www.youtube.com/channel/UC2-cihupgb0X2KYkZMJILMA
15,100 FOOD CHANNEL,12100,-0.8,13,0.0,/youtube/channel/UCSQoTnIGERswfqIoFBUhBYA,https://www.youtube.com/channel/UCSQoTnIGERswfqIoFBUhBYA
16,learn share,124000,-0.8,129979,0.3,/youtube/channel/UCA2aRJQUHkkTlvugxOYggpA,https://www.youtube.com/channel/UCA2aRJQUHkkTlvugxOYggpA
17,Crypto Bobby,124000,-0.8,2210,0.6,/youtube/channel/UCt_oM56Ui0BCCgi0Yc-Wh3Q,https://www.youtube.com/channel/UCt_oM56Ui0BCCgi0Yc-Wh3Q
18,Crafts,128000,-0.8,9890,1.0,/youtube/channel/UCv9W4jZ6IzrmmKHvwyk45OQ,https://www.youtube.com/channel/UCv9W4jZ6IzrmmKHvwyk45OQ
19,GoofyyXD,13000,-0.8,53,6.0,/youtube/channel/UCq_yy3l_8Zc615iTYQotR4A,https://www.youtube.com/channel/UCq_yy3l_8Zc615iTYQotR4A
20,🎃AsianGirls4Life🎃,13000,-0.8,819,0.0,/youtube/channel/UCEUfQdGDcEbmq0fa43kIAYQ,https://www.youtube.com/channel/UCEUfQdGDcEbmq0fa43kIAYQ
21,Nanosoldering,13000,-0.8,2340,0.0,/youtube/channel/UCR8Aot_a6QFuzl7ArFb75OQ,https://www.youtube.com/channel/UCR8Aot_a6QFuzl7ArFb75OQ
22,SOUL FORCE QUADS,13100,-0.8,4210,0.0,/youtube/channel/UCTyUlPiyU9TyfHMH8L7fjzQ,https://www.youtube.com/channel/UCTyUlPiyU9TyfHMH8L7fjzQ
23,Ziggy Zee,13300,-0.8,736280,0.0,/youtube/channel/UCCyJF66176hT8hIt0x0RWKw,https://www.youtube.com/channel/UCCyJF66176hT8hIt0x0RWKw
24,Robot in 3 Days,13400,-0.7,13770,0.0,/youtube/channel/UCgtwgUTTxuldvAGW1u8SDSA,https://www.youtube.com/channel/UCgtwgUTTxuldvAGW1u8SDSA
25,KOTUK_CYBERSPORT,13700,-0.7,494,0.0,/youtube/channel/UCl9DVkbkKdLGayf8MckbdsQ,https://www.youtube.com/channel/UCl9DVkbkKdLGayf8MckbdsQ
26,Polarick,13700,-0.7,53450,0.0,/youtube/channel/UC7OTNqduHuGJGsE9fyBii5Q,https://www.youtube.com/channel/UC7OTNqduHuGJGsE9fyBii5Q
27,notdan,13800,-0.7,329,0.0,/youtube/channel/UCIJ5Zh9L9tEpXlzkHfqRknA,https://www.youtube.com/channel/UCIJ5Zh9L9tEpXlzkHfqRknA
28,AdaptedAlpha,13900,-0.7,11550,0.0,/youtube/channel/UCzp595OEeDeD_23fUzjEfig,https://www.youtube.com/channel/UCzp595OEeDeD_23fUzjEfig
29,Mister Bad Gamer,14000,-0.7,36,0.0,/youtube/channel/UCtsFRXkBX1hniZx01E0Q3xg,https://www.youtube.com/channel/UCtsFRXkBX1hniZx01E0Q3xg
30,Crypto Finder,14200,-0.7,1950,-1.8,/youtube/channel/UCKvc0WUB65GCvOTgPVJ9yRA,https://www.youtube.com/channel/UCKvc0WUB65GCvOTgPVJ9yRA
