rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Skin mirror,30600,-1.9,1100,-20.6,/youtube/channel/UCFcEwm29oC-9xanLVvYa69Q,https://www.youtube.com/channel/UCFcEwm29oC-9xanLVvYa69Q
2,Catching Zzz,10100,-1.0,5210,0.0,/youtube/channel/UC_UG3s6P59350VqLzTdi3XA,https://www.youtube.com/channel/UC_UG3s6P59350VqLzTdi3XA
3,Steve Edward,10500,-0.9,256470,0.0,/youtube/channel/UCuZhAkVThjxfWlMPIsIcD5w,https://www.youtube.com/channel/UCuZhAkVThjxfWlMPIsIcD5w
4,Boston and Maine Live,105000,-0.9,5280,17.6,/youtube/channel/UC8gbWbcNNyb5-NIXvFklkOA,https://www.youtube.com/channel/UC8gbWbcNNyb5-NIXvFklkOA
5,SVETLANA FROM RUSSIA,107000,-0.9,282530,-0.3,/youtube/channel/UC3W6S0qmplQnQZtUeshREvA,https://www.youtube.com/channel/UC3W6S0qmplQnQZtUeshREvA
6,Zhang Pictures,11400,-0.9,88,0.0,/youtube/channel/UCCI-0GrjxQKWx3a3aXBDcMQ,https://www.youtube.com/channel/UCCI-0GrjxQKWx3a3aXBDcMQ
7,맛있는 즐거움 JOYFUL FOOD,116000,-0.9,5520,0.2,/youtube/channel/UC-NiIeWEem2yb9Zq-p9glsg,https://www.youtube.com/channel/UC-NiIeWEem2yb9Zq-p9glsg
8,Magical Spa Foot Massage,11600,-0.9,808,0.0,/youtube/channel/UC7g7-1STyyZOKPe7RHcXzHw,https://www.youtube.com/channel/UC7g7-1STyyZOKPe7RHcXzHw
9,Les voyages de NyCyLa,11900,-0.8,5330,0.0,/youtube/channel/UCpkQ6J_lzy-PG7CsVnZZncg,https://www.youtube.com/channel/UCpkQ6J_lzy-PG7CsVnZZncg
10,F Awang,11900,-0.8,631,0.0,/youtube/channel/UCIxrtaLKT-ALnPfGEtacYbw,https://www.youtube.com/channel/UCIxrtaLKT-ALnPfGEtacYbw
11,HappyCat,11900,-0.8,24080,0.0,/youtube/channel/UCgG1fdg-kpcVoBy1gi1oGcw,https://www.youtube.com/channel/UCgG1fdg-kpcVoBy1gi1oGcw
12,4K Wild Empire,11900,-0.8,1820,-60.4,/youtube/channel/UClYGaG4Z6018wUyT-XjWEgQ,https://www.youtube.com/channel/UClYGaG4Z6018wUyT-XjWEgQ
13,Pixie Dust & Parenting,12200,-0.8,1450,0.0,/youtube/channel/UCfwcTHHzVT_FoPLKlkroCuw,https://www.youtube.com/channel/UCfwcTHHzVT_FoPLKlkroCuw
14,Herato,12500,-0.8,75880,0.0,/youtube/channel/UCbIGE_19oAADhWDnhvXLiOg,https://www.youtube.com/channel/UCbIGE_19oAADhWDnhvXLiOg
