rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Captain Crankshaft,21900,53.1,25010,-50.0,/youtube/channel/UC8ThsX-gyKKuuN9qo1PJ0-Q,https://www.youtube.com/channel/UC8ThsX-gyKKuuN9qo1PJ0-Q
2,Yukon,32400,52.1,149900,95.1,/youtube/channel/UCydcPiZWnDF5RpODpQ0w5vg,https://www.youtube.com/channel/UCydcPiZWnDF5RpODpQ0w5vg
3,Magnacars,17200,45.8,39000,-16.7,/youtube/channel/UCDjuge3znPZOc7W2-AsY3Xg,https://www.youtube.com/channel/UCDjuge3znPZOc7W2-AsY3Xg
4,RINOR BOOM,162000,27.6,96330,0.4,/youtube/channel/UChhh9weEth75c8mbBMh2dIw,https://www.youtube.com/channel/UChhh9weEth75c8mbBMh2dIw
5,DW REV - Cars & Mobility,41200,26.4,48950,1653.3,/youtube/channel/UCbeioqdepMbZql_uir8kudQ,https://www.youtube.com/channel/UCbeioqdepMbZql_uir8kudQ
6,Truckers Wall of Shame Unchained,54600,23.8,129560,908.3,/youtube/channel/UCapmAfW1wmXL1qnL50izk8g,https://www.youtube.com/channel/UCapmAfW1wmXL1qnL50izk8g
7,Alan Enileev Cars,27600,23.2,173940,28.6,/youtube/channel/UCY8DKwM4zv1LnJyBX-R0ElA,https://www.youtube.com/channel/UCY8DKwM4zv1LnJyBX-R0ElA
8,Motor World,20300,22.3,17690,12.9,/youtube/channel/UCgOJ17fRRvoQe8Cy6NwO-0w,https://www.youtube.com/channel/UCgOJ17fRRvoQe8Cy6NwO-0w
9,ТОП МОШИНХО,45500,22.0,24260,115.6,/youtube/channel/UCucDhWXw3GB4muYiI_Ce9pw,https://www.youtube.com/channel/UCucDhWXw3GB4muYiI_Ce9pw
10,Moto Control,18300,21.2,55810,13.9,/youtube/channel/UC5mCIa2W16Bjs1O-2ZX7WRw,https://www.youtube.com/channel/UC5mCIa2W16Bjs1O-2ZX7WRw
11,Amazing Mechanics,24700,21.1,261709,9.6,/youtube/channel/UC6z8fhUYAZZi-4t-nF0qLzA,https://www.youtube.com/channel/UC6z8fhUYAZZi-4t-nF0qLzA
12,AutoPlus,881000,19.9,53030,457.8,/youtube/channel/UCr89pFPRC3tRVx461sDl7mg,https://www.youtube.com/channel/UCr89pFPRC3tRVx461sDl7mg
13,K!llING CAR ENGINE,14600,16.8,594450,12.7,/youtube/channel/UCHdunzfpk_0Gnoti-6VdETw,https://www.youtube.com/channel/UCHdunzfpk_0Gnoti-6VdETw
14,Auto Details,15400,14.1,2450,-40.4,/youtube/channel/UCQMpV9Uv1-rL-iQM21Tz_NA,https://www.youtube.com/channel/UCQMpV9Uv1-rL-iQM21Tz_NA
15,trophy burro,16900,13.4,7750,-47.8,/youtube/channel/UCBhSDEtRGE88jk0fnKhZn4A,https://www.youtube.com/channel/UCBhSDEtRGE88jk0fnKhZn4A
16,316 SPEED,26700,12.7,77270,54.6,/youtube/channel/UCLLA1VhcuW7tG0uPoksMj6w,https://www.youtube.com/channel/UCLLA1VhcuW7tG0uPoksMj6w
17,CAR CHANNEL,70200,11.8,189810,2.3,/youtube/channel/UC3fFzCYq5devEJ8k2FRuEtQ,https://www.youtube.com/channel/UC3fFzCYq5devEJ8k2FRuEtQ
18,Dude_Mungus,29900,11.6,19870,-82.7,/youtube/channel/UCeXKwYCohqJrP6PaX7lmYHA,https://www.youtube.com/channel/UCeXKwYCohqJrP6PaX7lmYHA
