rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Mike Jones - Money Train LLC,131000,144.9,979280,0.0,/youtube/channel/UCVpz3nImVSQawFPqH1JmyAw,https://www.youtube.com/channel/UCVpz3nImVSQawFPqH1JmyAw
2,GB Kuhleen,137000,137.4,619710,384.1,/youtube/channel/UCwvnWhROLSymlRgspkKBRuQ,https://www.youtube.com/channel/UCwvnWhROLSymlRgspkKBRuQ
3,Kassie Marie,73400,120.4,254920,342.8,/youtube/channel/UCBWADyLV-y72YUFIiNsq7JQ,https://www.youtube.com/channel/UCBWADyLV-y72YUFIiNsq7JQ
4,Tank & Kayla,22200,119.8,67820,191.4,/youtube/channel/UCCfy5ADoptBadipMzdt7Imw,https://www.youtube.com/channel/UCCfy5ADoptBadipMzdt7Imw
5,ASMRtist,98600,119.1,84760,28.6,/youtube/channel/UCJ_yFGjnJfiH6qZIeJ0URaA,https://www.youtube.com/channel/UCJ_yFGjnJfiH6qZIeJ0URaA
6,Mikes Weather Page,40500,118.9,21150,515.0,/youtube/channel/UCQDC0j2oiSRSbQ5sSalzFYA,https://www.youtube.com/channel/UCQDC0j2oiSRSbQ5sSalzFYA
7,Owen Holt,25600,104.8,26740,21.5,/youtube/channel/UCxk4OTmTmSVo5AanTHDr_Bg,https://www.youtube.com/channel/UCxk4OTmTmSVo5AanTHDr_Bg
8,POP IT & CHILL,103000,98.8,329930,335.3,/youtube/channel/UCPbUeNDwZr2dbW1oNd3Gysw,https://www.youtube.com/channel/UCPbUeNDwZr2dbW1oNd3Gysw
9,KINOTOPWOW,276000,94.4,1480000,-8.3,/youtube/channel/UCfVsLc5wtft5qM5kbNyss5Q,https://www.youtube.com/channel/UCfVsLc5wtft5qM5kbNyss5Q
10,Ugly Money TV,35100,92.9,121970,745.8,/youtube/channel/UC37HGHnseVKCDhQou1BigWg,https://www.youtube.com/channel/UC37HGHnseVKCDhQou1BigWg
11,The_Smart_Doggies,66200,91.9,63320,123.7,/youtube/channel/UCvi36Lz3qPutqEz2i-NGU1g,https://www.youtube.com/channel/UCvi36Lz3qPutqEz2i-NGU1g
12,MorePllana,42400,91.0,368390,16.4,/youtube/channel/UCDo9z8OXCI_5pwPwLNVs1Xw,https://www.youtube.com/channel/UCDo9z8OXCI_5pwPwLNVs1Xw
