rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Clay World,74200,117.6,79580,299.5,/youtube/channel/UCAAqRKijxvKnF2hfOqDLesA,https://www.youtube.com/channel/UCAAqRKijxvKnF2hfOqDLesA
2,Mr_Sus,53600,98.5,8630,44.1,/youtube/channel/UCxC0BRO8KJAinrvV05Z0J8Q,https://www.youtube.com/channel/UCxC0BRO8KJAinrvV05Z0J8Q
3,Toca Molly Cute,58900,96.3,235850,121.5,/youtube/channel/UC2JZjIuNaBUGb6-bPkxMOGQ,https://www.youtube.com/channel/UC2JZjIuNaBUGb6-bPkxMOGQ
4,Scarlett Shade,59500,93.8,544120,662.1,/youtube/channel/UCBzs28doQHKl7ZCgwanTn2A,https://www.youtube.com/channel/UCBzs28doQHKl7ZCgwanTn2A
5,TroNix,141000,82.4,259800,112.8,/youtube/channel/UC_M66IFfqb2-GVLb8T6DWMg,https://www.youtube.com/channel/UC_M66IFfqb2-GVLb8T6DWMg
6,Cheftic,98600,79.9,16990,27.4,/youtube/channel/UCaDg2Lnp3BrBe_935Pc0nOg,https://www.youtube.com/channel/UCaDg2Lnp3BrBe_935Pc0nOg
7,simply24k,23600,77.4,21840,11.6,/youtube/channel/UCWCY0kHAauedzsgTmTAu-QQ,https://www.youtube.com/channel/UCWCY0kHAauedzsgTmTAu-QQ
8,MunsonTV,50600,75.7,328180,58.7,/youtube/channel/UCSUcmLdetlJQUTzRmrw9QCw,https://www.youtube.com/channel/UCSUcmLdetlJQUTzRmrw9QCw
9,LegitEpicBoss Gaming,29000,69.6,138450,347.9,/youtube/channel/UCrK-aLl_Y8ozs5ZJHdgVEOg,https://www.youtube.com/channel/UCrK-aLl_Y8ozs5ZJHdgVEOg
10,EarToe,17100,69.3,50080,-2.3,/youtube/channel/UC1Aq99u6tscfkefbBg8ClIg,https://www.youtube.com/channel/UC1Aq99u6tscfkefbBg8ClIg
11,Lana's Life,203000,67.8,706790,124.0,/youtube/channel/UCvICJHzZEwb_9ckAMohAqzw,https://www.youtube.com/channel/UCvICJHzZEwb_9ckAMohAqzw
12,Quez82,31000,59.8,273790,26.8,/youtube/channel/UCqVYwudAgn34GzGfDJskztA,https://www.youtube.com/channel/UCqVYwudAgn34GzGfDJskztA
13,Legends of Avantris,32400,59.6,95920,59.1,/youtube/channel/UCiER8p540j2SosO7OX7E0VA,https://www.youtube.com/channel/UCiER8p540j2SosO7OX7E0VA
14,SimplyIvee,69300,54.3,203340,4.3,/youtube/channel/UCZLjPZ1UTyQuE9Kv-F4bOKQ,https://www.youtube.com/channel/UCZLjPZ1UTyQuE9Kv-F4bOKQ
15,Melon and Sunny,31600,52.7,32500,-2.4,/youtube/channel/UCcoQmP00fejfgYaaqTTtUHA,https://www.youtube.com/channel/UCcoQmP00fejfgYaaqTTtUHA
16,PurpleThunderNE,30700,52.0,132930,82.3,/youtube/channel/UCu3wT_8cBekXfMv70nkvUiA,https://www.youtube.com/channel/UCu3wT_8cBekXfMv70nkvUiA
17,Belala,79900,48.2,145860,62.4,/youtube/channel/UCh3JUZ4aKszQp4LzkgrFCsw,https://www.youtube.com/channel/UCh3JUZ4aKszQp4LzkgrFCsw
18,Go1den,56400,43.9,13880,34.3,/youtube/channel/UCRqwrfo0RW7q0cwLbxLqTHw,https://www.youtube.com/channel/UCRqwrfo0RW7q0cwLbxLqTHw
19,PUMBA,167000,42.7,2190,-89.5,/youtube/channel/UC6lPZO8kqFGg3pfatYjsC0Q,https://www.youtube.com/channel/UC6lPZO8kqFGg3pfatYjsC0Q
20,MagixMC,1250000,40.9,3340000,241.3,/youtube/channel/UClAVSxqxchHET2KvTTteYUA,https://www.youtube.com/channel/UClAVSxqxchHET2KvTTteYUA
