rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Shopfix,141000,710.3,1990000,4776.4,/youtube/channel/UCtJMdKdfPGOASsrUZ7O6cXQ,https://www.youtube.com/channel/UCtJMdKdfPGOASsrUZ7O6cXQ
2,Socialite Lighting,54300,407.5,28070,6.6,/youtube/channel/UC_Yn9JcW_9Ppj55J9SVAoAg,https://www.youtube.com/channel/UC_Yn9JcW_9Ppj55J9SVAoAg
3,BlushingBB,148000,273.7,957090,4851.3,/youtube/channel/UCIRRwTddvrFNfn-pCzhuvRQ,https://www.youtube.com/channel/UCIRRwTddvrFNfn-pCzhuvRQ
4,Mr Reis,49100,122.2,6300,32.1,/youtube/channel/UCpFio7jSO7H6Q2gM6dguJ6g,https://www.youtube.com/channel/UCpFio7jSO7H6Q2gM6dguJ6g
5,Slick Diecast,28600,85.7,93600,457.6,/youtube/channel/UCo-SQKMzwQUCc8cf0a_al6w,https://www.youtube.com/channel/UCo-SQKMzwQUCc8cf0a_al6w
6,Sushi By Kunihiro,29100,50.0,38130,0.0,/youtube/channel/UCv8NdVA9vhqr2mO-a662Ruw,https://www.youtube.com/channel/UCv8NdVA9vhqr2mO-a662Ruw
7,Dobbs Dyes,18600,48.8,49410,4174.8,/youtube/channel/UCo4IGPjMBEeACGXLXwdGVWg,https://www.youtube.com/channel/UCo4IGPjMBEeACGXLXwdGVWg
8,Melissa Fallin,19100,48.1,14890,-91.3,/youtube/channel/UC63FElQgYSWrmORuXYsY44A,https://www.youtube.com/channel/UC63FElQgYSWrmORuXYsY44A
9,Tristan Dare,15800,42.3,19650,0.0,/youtube/channel/UCoCvNSxcqwiuoTLz-CsSHCg,https://www.youtube.com/channel/UCoCvNSxcqwiuoTLz-CsSHCg
10,Vi Luong,27600,39.4,184600,29.1,/youtube/channel/UCBpQbL6u0VZA_Rch65cdHNg,https://www.youtube.com/channel/UCBpQbL6u0VZA_Rch65cdHNg
11,Kristyn Cole,140000,35.9,865980,79.0,/youtube/channel/UCW0LpxPa6cF-xj6x6B1WNZA,https://www.youtube.com/channel/UCW0LpxPa6cF-xj6x6B1WNZA
12,Weird Health,28800,32.7,447740,30.6,/youtube/channel/UCcJOxZ3q9MFSZxvRWLqjuvQ,https://www.youtube.com/channel/UCcJOxZ3q9MFSZxvRWLqjuvQ
13,Creative inventions LMTN,53800,31.2,280640,36.5,/youtube/channel/UC9l8eLzvmuj-LMTNcWQgHeA,https://www.youtube.com/channel/UC9l8eLzvmuj-LMTNcWQgHeA
14,Jessica Blair,13800,29.0,51230,180.6,/youtube/channel/UCuwM2b9HrshP_lo2llpgQdA,https://www.youtube.com/channel/UCuwM2b9HrshP_lo2llpgQdA
15,Two Plaid Aprons,23400,27.2,3630,27.6,/youtube/channel/UCH2-gDpyBkROtJV89J6o0tA,https://www.youtube.com/channel/UCH2-gDpyBkROtJV89J6o0tA
16,fashion ideas,23900,27.1,78010,0.0,/youtube/channel/UCqNqoAcctg4MXfWkRUS4mGg,https://www.youtube.com/channel/UCqNqoAcctg4MXfWkRUS4mGg
17,Misaki Sewing,18900,26.9,430,0.0,/youtube/channel/UCvUZDe2VW3WrMF6l7qIwSQA,https://www.youtube.com/channel/UCvUZDe2VW3WrMF6l7qIwSQA
18,audaamar,65300,26.8,125270,234.0,/youtube/channel/UCLkOU1H-E7Fo2ta8DzmAN6A,https://www.youtube.com/channel/UCLkOU1H-E7Fo2ta8DzmAN6A
19,The Lauren Ashtyn Collection,29200,25.9,103600,0.6,/youtube/channel/UCRzJ6NG2jKDeL-rh-QNMzHA,https://www.youtube.com/channel/UCRzJ6NG2jKDeL-rh-QNMzHA
20,Flair Espresso,39100,25.7,529020,116.4,/youtube/channel/UC_t7lJPh4kpIxgdRmTFi1Qg,https://www.youtube.com/channel/UC_t7lJPh4kpIxgdRmTFi1Qg
21,Cooking Lee's,46900,25.1,181560,21.1,/youtube/channel/UCBFojdMDUwgax5E0gn6MpxA,https://www.youtube.com/channel/UCBFojdMDUwgax5E0gn6MpxA
22,British Royal Documentary,134000,24.1,15680,-47.2,/youtube/channel/UCJaWvvA8hkwWMfkjqVWw6vw,https://www.youtube.com/channel/UCJaWvvA8hkwWMfkjqVWw6vw
23,Under World,94100,23.3,146420,-17.7,/youtube/channel/UClJ991AaYwXWWCJBJb6Jdbw,https://www.youtube.com/channel/UClJ991AaYwXWWCJBJb6Jdbw
24,Proud To Be Muslim,86700,22.8,1330000,19.8,/youtube/channel/UC4bvWDe4qXQ0WfZugqqbLlg,https://www.youtube.com/channel/UC4bvWDe4qXQ0WfZugqqbLlg
25,Sisters Guide To Style,34700,22.2,64060,-10.8,/youtube/channel/UCAAEt7j2F7ZlwrIRb2mPdew,https://www.youtube.com/channel/UCAAEt7j2F7ZlwrIRb2mPdew
26,Merry Thi HAUL,43500,21.9,4800,-93.2,/youtube/channel/UCJqz0NIEdWeiy4hIB0FsvvA,https://www.youtube.com/channel/UCJqz0NIEdWeiy4hIB0FsvvA
27,Marcela Veronica,38300,21.6,7250,28.7,/youtube/channel/UCQCbdrd8mrW2T_kIQ5Ei22Q,https://www.youtube.com/channel/UCQCbdrd8mrW2T_kIQ5Ei22Q
28,TatVar,27900,20.3,98970,501.6,/youtube/channel/UCOX-CvFGY7YEpimSm8OYuJQ,https://www.youtube.com/channel/UCOX-CvFGY7YEpimSm8OYuJQ
29,Rap Ratz,13700,19.1,1380,21.5,/youtube/channel/UCoO2J41IXUy_2cwEZc2jUcA,https://www.youtube.com/channel/UCoO2J41IXUy_2cwEZc2jUcA
30,Rescue & Restore Shorts,200000,19.1,4040000,38.9,/youtube/channel/UCMaG2ox8u2EXWkk14hhZE2w,https://www.youtube.com/channel/UCMaG2ox8u2EXWkk14hhZE2w
