rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Mr. Weatherman,155000,62.8,327450,61.2,/youtube/channel/UC6Ov32gNPTKAa7-seHTl8Xw,https://www.youtube.com/channel/UC6Ov32gNPTKAa7-seHTl8Xw
2,SevereStudios,38100,55.5,8490,0.1,/youtube/channel/UCBtR7ynKM9odz-PW_7uyzDw,https://www.youtube.com/channel/UCBtR7ynKM9odz-PW_7uyzDw
3,Toolstour,20700,36.2,814770,73.1,/youtube/channel/UCzcTMhcNSRduSarssCmp77w,https://www.youtube.com/channel/UCzcTMhcNSRduSarssCmp77w
4,Breakthrough,68800,33.3,15790,78.8,/youtube/channel/UC-I2cp3hAGPt7qD57CmioKA,https://www.youtube.com/channel/UC-I2cp3hAGPt7qD57CmioKA
5,Hitech Amazing,42700,23.8,240860,50.7,/youtube/channel/UC6rn4umHE_8D71OJItLZF0Q,https://www.youtube.com/channel/UC6rn4umHE_8D71OJItLZF0Q
6,NorthernHurricane7,13200,22.2,108250,51.6,/youtube/channel/UCJLLiIBagfrXxfcxcRPg24Q,https://www.youtube.com/channel/UCJLLiIBagfrXxfcxcRPg24Q
7,R&S construction,440000,20.2,1200000,134.0,/youtube/channel/UCD0YyAfcTy_KptSaAXh6ytQ,https://www.youtube.com/channel/UCD0YyAfcTy_KptSaAXh6ytQ
8,FutureUnity PT,205000,19.9,291300,-28.9,/youtube/channel/UCbspDB93r9P8tX3e2ZFxl2w,https://www.youtube.com/channel/UCbspDB93r9P8tX3e2ZFxl2w
9,Stark Drones Corporation,86900,19.7,6390,29.0,/youtube/channel/UCdDaVSRgSQMfAE-XKfackUQ,https://www.youtube.com/channel/UCdDaVSRgSQMfAE-XKfackUQ
10,Combat Aviationist,60300,17.1,66930,1081.8,/youtube/channel/UCVmMu4bOAx_ZLj7nqqDmY6Q,https://www.youtube.com/channel/UCVmMu4bOAx_ZLj7nqqDmY6Q
