rank,channel name,current subscriber,subscriber change rate,average views,views change rate,noxinfluencer channel uri,youtube channel uri
1,Jet Lag: The Game,216000,66.1,466360,56.3,/youtube/channel/UCxkM67T_Iele-mRVUiBkRqg,https://www.youtube.com/channel/UCxkM67T_Iele-mRVUiBkRqg
2,【日本温泉女子】湯女ゆな @Japanes_onsen,191000,61.9,2250000,71.7,/youtube/channel/UCi1fmb76ba0cGNq0ToJ1Zsg,https://www.youtube.com/channel/UCi1fmb76ba0cGNq0ToJ1Zsg
3,Toya Johnson,69800,46.6,83520,11.1,/youtube/channel/UCzzZ3HENcCrXaZ7qAlr6SYw,https://www.youtube.com/channel/UCzzZ3HENcCrXaZ7qAlr6SYw
4,Adventure Elliot,19800,35.6,25810,83.1,/youtube/channel/UCI3k96jv3yMq1EMmUtG7dLA,https://www.youtube.com/channel/UCI3k96jv3yMq1EMmUtG7dLA
5,Megalithic Marvels,90300,32.6,61140,-22.1,/youtube/channel/UCpiPhZVveHua0fcikxo8wmQ,https://www.youtube.com/channel/UCpiPhZVveHua0fcikxo8wmQ
6,Love The World,14600,28.1,40750,92.2,/youtube/channel/UC9SKrrO5cGDyWgJTi7MdOXg,https://www.youtube.com/channel/UC9SKrrO5cGDyWgJTi7MdOXg
7,Visit The USA: Español,24800,22.2,1790000,39.6,/youtube/channel/UChs85yX3QDApZTC0jLrSVxg,https://www.youtube.com/channel/UChs85yX3QDApZTC0jLrSVxg
8,Storm Chaser Brandon Copic,14600,21.7,21570,4.4,/youtube/channel/UCPqLI_AohMn1jnFg8ocMyHA,https://www.youtube.com/channel/UCPqLI_AohMn1jnFg8ocMyHA
9,GEN,35800,17.0,71520,21.7,/youtube/channel/UCF9OHrRasw-r4JcnBo4E2cg,https://www.youtube.com/channel/UCF9OHrRasw-r4JcnBo4E2cg
10,4K Africa,17800,16.3,32940,8.3,/youtube/channel/UCSk82NhboZGNTAuFAPdtaZQ,https://www.youtube.com/channel/UCSk82NhboZGNTAuFAPdtaZQ
11,Court and Nate,46700,14.5,129960,50.7,/youtube/channel/UC0rPJb2dJ2ksqYIGOMguT1Q,https://www.youtube.com/channel/UC0rPJb2dJ2ksqYIGOMguT1Q
12,RiseUp Ethiopia,15600,13.9,25820,11.3,/youtube/channel/UC_wASU3LElacZPMNF1ZyMUg,https://www.youtube.com/channel/UC_wASU3LElacZPMNF1ZyMUg
13,TriFate Lifestyle,41100,13.2,49110,-9.9,/youtube/channel/UCRzBNJTsBe2rq6pkyXeaj1A,https://www.youtube.com/channel/UCRzBNJTsBe2rq6pkyXeaj1A
14,US生活&旅行,55900,12.9,190390,13.3,/youtube/channel/UCyNCbzWQKXGbfKwIqNcWNLw,https://www.youtube.com/channel/UCyNCbzWQKXGbfKwIqNcWNLw
15,Asian Cuisine,16600,12.9,846,-95.8,/youtube/channel/UCSob-m7lsvm1NtWn-Xo5u3w,https://www.youtube.com/channel/UCSob-m7lsvm1NtWn-Xo5u3w
16,Caribbean Lifestyle by J-irie,18200,11.7,22350,8.5,/youtube/channel/UCVK2kdq_dS8AC8-ZyvBMYFw,https://www.youtube.com/channel/UCVK2kdq_dS8AC8-ZyvBMYFw
17,Ilya Varlamov ENG,12500,11.6,6600,53.2,/youtube/channel/UCyhHdRjLsaYy9I7TZ9Swu6A,https://www.youtube.com/channel/UCyhHdRjLsaYy9I7TZ9Swu6A
18,Visit The USA,62100,11.5,18490,5661.1,/youtube/channel/UC6G-WN8KW4qFHEmdyyQtF7g,https://www.youtube.com/channel/UC6G-WN8KW4qFHEmdyyQtF7g
19,Expedition Evans,265000,9.5,1410000,13.9,/youtube/channel/UCi9E1Hne0eutZHTEVnMTZ0Q,https://www.youtube.com/channel/UCi9E1Hne0eutZHTEVnMTZ0Q
20,KAYAK,18900,9.3,16360000,1.4,/youtube/channel/UCs36_o9B5NadGYfiHwT-ekQ,https://www.youtube.com/channel/UCs36_o9B5NadGYfiHwT-ekQ
21,Heavy Rain,14400,9.1,206,9.0,/youtube/channel/UCKEKD1PIpb07Czjf5MsJbrQ,https://www.youtube.com/channel/UCKEKD1PIpb07Czjf5MsJbrQ
22,Texas Storm Chasers,110000,8.9,8550,36.2,/youtube/channel/UCNPvoDpoOWevcdTHr8GyTyA,https://www.youtube.com/channel/UCNPvoDpoOWevcdTHr8GyTyA
23,tryNsomethingnew,124000,8.8,53110,176.9,/youtube/channel/UCl7giZXLlLIAEKV-TVoBW7Q,https://www.youtube.com/channel/UCl7giZXLlLIAEKV-TVoBW7Q
24,Carla Con Wifi,51300,8.5,3050,-7.9,/youtube/channel/UCkViwdgDvpQa9zfIejwfHqg,https://www.youtube.com/channel/UCkViwdgDvpQa9zfIejwfHqg
25,Out and About With Diane,21900,8.4,58710,19.1,/youtube/channel/UCLXT4pOz5MfSEnx1zcKqnIQ,https://www.youtube.com/channel/UCLXT4pOz5MfSEnx1zcKqnIQ
26,K Lo K TV,19700,8.2,34370,-3.0,/youtube/channel/UCJs3xjwLIJ7K3YcovhheJJw,https://www.youtube.com/channel/UCJs3xjwLIJ7K3YcovhheJJw
27,Joe Franta. Ship,53600,7.8,143650,6.2,/youtube/channel/UC_eRyBhLyOAu5Ddh5oNbQnQ,https://www.youtube.com/channel/UC_eRyBhLyOAu5Ddh5oNbQnQ
28,Travel Escapes,38700,7.5,52180,18.3,/youtube/channel/UCcaIZBgmiYTJP9fpO_xjMTQ,https://www.youtube.com/channel/UCcaIZBgmiYTJP9fpO_xjMTQ
